CONNECTION_activities_talked_day_p3m,CONNECTION_activities_group_exercise_p3m,GEO_housing_live_with_dogs,GEO_housing_live_with_cats,LONELY_ucla_loneliness_scale_score,Pet_or_no
Weekly,Weekly,1.0,0.0,4.0,yes
A few times a month,A few times a month,0.0,0.0,4.0,no
Daily or almost daily,Monthly,5.0,0.0,6.0,yes
Less than monthly,Monthly,0.0,0.0,6.0,no
A few times a month,Weekly,0.0,1.0,6.0,yes
Weekly,A few times a week,0.0,1.0,6.0,yes
Monthly,Monthly,0.0,0.0,5.0,no
A few times a month,Monthly,1.0,1.0,7.0,yes
Weekly,Less than monthly,3.0,3.0,6.0,yes
Less than monthly,Monthly,1.0,0.0,5.0,yes
Less than monthly,Not in the past three months,2.0,2.0,4.0,yes
A few times a week,A few times a month,1.0,0.0,5.0,yes
Monthly,Not in the past three months,0.0,1.0,3.0,yes
Monthly,Monthly,1.0,0.0,6.0,yes
Less than monthly,Not in the past three months,0.0,0.0,9.0,no
Daily or almost daily,Not in the past three months,1.0,1.0,9.0,yes
A few times a week,A few times a week,0.0,1.0,5.0,yes
Monthly,A few times a month,0.0,0.0,6.0,no
A few times a month,A few times a month,2.0,0.0,8.0,yes
A few times a month,Less than monthly,0.0,0.0,7.0,no
Monthly,Monthly,2.0,2.0,6.0,yes
Presented but no response,Less than monthly,1.0,0.0,5.0,yes
A few times a month,Not in the past three months,0.0,0.0,4.0,no
A few times a week,Not in the past three months,0.0,1.0,8.0,yes
A few times a week,Daily or almost daily,1.0,1.0,6.0,yes
A few times a week,A few times a week,1.0,0.0,5.0,yes
Weekly,Less than monthly,1.0,0.0,7.0,yes
Not in the past three months,A few times a week,1.0,1.0,7.0,yes
Less than monthly,Monthly,1.0,1.0,5.0,yes
A few times a week,Not in the past three months,0.0,0.0,8.0,no
Less than monthly,Monthly,0.0,0.0,6.0,no
A few times a month,Not in the past three months,1.0,2.0,5.0,yes
Not in the past three months,Monthly,2.0,0.0,4.0,yes
Monthly,A few times a month,0.0,9.0,5.0,yes
Weekly,A few times a week,1.0,0.0,3.0,yes
Less than monthly,Less than monthly,0.0,0.0,3.0,no
Monthly,Monthly,1.0,1.0,4.0,yes
Weekly,Monthly,0.0,1.0,4.0,yes
A few times a month,Not in the past three months,0.0,0.0,9.0,no
Weekly,A few times a month,1.0,1.0,7.0,yes
Weekly,Monthly,0.0,0.0,5.0,no
Less than monthly,Weekly,5.0,3.0,5.0,yes
A few times a week,Not in the past three months,0.0,1.0,6.0,yes
Monthly,Weekly,1.0,1.0,6.0,yes
A few times a week,Not in the past three months,1.0,0.0,5.0,yes
Daily or almost daily,Daily or almost daily,5.0,3.0,6.0,yes
A few times a month,A few times a month,1.0,0.0,6.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,3.0,no
A few times a week,Not in the past three months,2.0,1.0,4.0,yes
A few times a month,Monthly,0.0,0.0,5.0,no
Daily or almost daily,A few times a month,0.0,0.0,4.0,no
Monthly,A few times a month,2.0,1.0,3.0,yes
Daily or almost daily,Not in the past three months,0.0,2.0,5.0,yes
A few times a week,Not in the past three months,0.0,0.0,8.0,no
Monthly,Less than monthly,0.0,0.0,5.0,no
Daily or almost daily,Weekly,1.0,1.0,6.0,yes
Not in the past three months,Not in the past three months,0.0,1.0,9.0,yes
Not in the past three months,Monthly,2.0,0.0,3.0,yes
A few times a month,Less than monthly,0.0,0.0,6.0,no
Less than monthly,Daily or almost daily,2.0,3.0,7.0,yes
Less than monthly,Monthly,1.0,1.0,9.0,yes
A few times a week,A few times a month,2.0,0.0,6.0,yes
A few times a month,Not in the past three months,0.0,0.0,3.0,no
A few times a month,A few times a week,1.0,2.0,3.0,yes
A few times a month,Not in the past three months,0.0,0.0,6.0,no
Less than monthly,Less than monthly,0.0,0.0,5.0,no
Less than monthly,Not in the past three months,2.0,1.0,9.0,yes
Weekly,Monthly,1.0,0.0,5.0,yes
Not in the past three months,Not in the past three months,1.0,1.0,9.0,yes
A few times a week,A few times a month,0.0,0.0,3.0,no
Less than monthly,Less than monthly,2.0,1.0,3.0,yes
Not in the past three months,Less than monthly,1.0,1.0,4.0,yes
A few times a month,Not in the past three months,0.0,0.0,3.0,no
Not in the past three months,Monthly,1.0,1.0,3.0,yes
Daily or almost daily,Weekly,0.0,0.0,8.0,no
A few times a month,Monthly,0.0,1.0,5.0,yes
A few times a month,Less than monthly,0.0,0.0,3.0,no
Weekly,Not in the past three months,0.0,2.0,7.0,yes
Monthly,Monthly,0.0,0.0,5.0,no
Weekly,Less than monthly,2.0,0.0,3.0,yes
Less than monthly,Presented but no response,1.0,0.0,6.0,yes
A few times a month,Less than monthly,1.0,1.0,4.0,yes
Daily or almost daily,Not in the past three months,1.0,4.0,5.0,yes
Monthly,A few times a month,0.0,0.0,7.0,no
A few times a month,Less than monthly,7.0,8.0,6.0,yes
A few times a month,Monthly,0.0,1.0,4.0,yes
Less than monthly,A few times a month,1.0,1.0,5.0,yes
Daily or almost daily,Not in the past three months,1.0,0.0,3.0,yes
A few times a month,A few times a month,0.0,1.0,5.0,yes
Monthly,Monthly,0.0,0.0,7.0,no
Weekly,Monthly,0.0,0.0,7.0,no
A few times a week,Less than monthly,1.0,1.0,6.0,yes
Monthly,A few times a month,0.0,0.0,5.0,no
A few times a week,Not in the past three months,1.0,0.0,5.0,yes
Daily or almost daily,Monthly,0.0,0.0,3.0,no
A few times a month,Monthly,1.0,1.0,7.0,yes
Less than monthly,Monthly,1.0,0.0,4.0,yes
A few times a week,Daily or almost daily,1.0,0.0,5.0,yes
A few times a month,Weekly,9.0,0.0,5.0,yes
Not in the past three months,A few times a month,0.0,0.0,3.0,no
Daily or almost daily,Not in the past three months,3.0,0.0,5.0,yes
Weekly,A few times a month,0.0,0.0,3.0,no
Daily or almost daily,Weekly,0.0,0.0,3.0,no
Presented but no response,Not in the past three months,0.0,0.0,9.0,no
Daily or almost daily,Not in the past three months,1.0,0.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,7.0,no
Less than monthly,Monthly,1.0,1.0,4.0,yes
Weekly,A few times a week,0.0,2.0,8.0,yes
A few times a week,Less than monthly,1.0,1.0,6.0,yes
Weekly,Not in the past three months,1.0,1.0,6.0,yes
Daily or almost daily,Weekly,1.0,0.0,4.0,yes
A few times a month,Weekly,0.0,0.0,9.0,no
Daily or almost daily,Not in the past three months,1.0,2.0,4.0,yes
A few times a week,Not in the past three months,1.0,1.0,5.0,yes
Weekly,Monthly,1.0,0.0,6.0,yes
A few times a week,Daily or almost daily,0.0,0.0,3.0,no
Weekly,A few times a week,0.0,0.0,6.0,no
A few times a month,Monthly,0.0,1.0,7.0,yes
A few times a week,Less than monthly,1.0,1.0,6.0,yes
Monthly,Weekly,0.0,0.0,5.0,no
A few times a week,Less than monthly,1.0,1.0,7.0,yes
Monthly,Less than monthly,0.0,0.0,6.0,no
Weekly,Not in the past three months,0.0,0.0,8.0,no
Daily or almost daily,Not in the past three months,1.0,1.0,8.0,yes
Monthly,A few times a month,1.0,0.0,4.0,yes
A few times a week,Weekly,1.0,1.0,4.0,yes
Monthly,Monthly,0.0,0.0,6.0,no
A few times a month,Not in the past three months,0.0,1.0,5.0,yes
Monthly,A few times a week,0.0,0.0,4.0,no
Weekly,Monthly,1.0,2.0,3.0,yes
Less than monthly,Not in the past three months,0.0,0.0,5.0,no
Daily or almost daily,Daily or almost daily,1.0,0.0,5.0,yes
A few times a week,Not in the past three months,0.0,3.0,9.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,5.0,no
A few times a week,Not in the past three months,0.0,4.0,3.0,yes
A few times a month,Monthly,7.0,9.0,5.0,yes
Weekly,Weekly,0.0,0.0,5.0,no
A few times a week,A few times a week,0.0,0.0,3.0,no
Daily or almost daily,A few times a month,1.0,1.0,5.0,yes
Weekly,Not in the past three months,0.0,0.0,3.0,no
A few times a week,Not in the past three months,0.0,0.0,3.0,no
A few times a month,A few times a month,0.0,1.0,6.0,yes
Less than monthly,Not in the past three months,2.0,2.0,3.0,yes
Weekly,A few times a month,0.0,0.0,3.0,no
A few times a month,Monthly,0.0,0.0,7.0,no
A few times a month,Not in the past three months,1.0,2.0,4.0,yes
A few times a month,Not in the past three months,0.0,0.0,3.0,no
A few times a week,Monthly,7.0,0.0,5.0,yes
Less than monthly,Not in the past three months,0.0,2.0,9.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,9.0,no
Daily or almost daily,Not in the past three months,0.0,1.0,6.0,yes
Weekly,Weekly,1.0,0.0,6.0,yes
Less than monthly,Less than monthly,1.0,1.0,4.0,yes
A few times a month,Monthly,0.0,0.0,3.0,no
Weekly,Not in the past three months,1.0,1.0,9.0,yes
Weekly,A few times a month,1.0,0.0,5.0,yes
A few times a month,A few times a month,0.0,0.0,7.0,no
Monthly,Not in the past three months,0.0,0.0,8.0,no
Daily or almost daily,Not in the past three months,0.0,1.0,4.0,yes
A few times a month,Weekly,1.0,1.0,4.0,yes
Monthly,Less than monthly,1.0,1.0,6.0,yes
Weekly,Weekly,1.0,0.0,5.0,yes
Less than monthly,Not in the past three months,0.0,2.0,4.0,yes
A few times a week,Weekly,1.0,1.0,7.0,yes
A few times a week,Less than monthly,1.0,0.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,1.0,6.0,yes
A few times a week,Not in the past three months,0.0,0.0,6.0,no
Monthly,Weekly,0.0,1.0,6.0,yes
Monthly,Weekly,2.0,1.0,5.0,yes
Less than monthly,Monthly,0.0,0.0,6.0,no
A few times a month,Weekly,0.0,0.0,7.0,no
A few times a week,A few times a month,1.0,0.0,3.0,yes
Weekly,Not in the past three months,0.0,3.0,6.0,yes
A few times a month,Weekly,1.0,0.0,6.0,yes
A few times a month,A few times a month,0.0,0.0,7.0,no
Weekly,A few times a month,1.0,1.0,5.0,yes
Monthly,Presented but no response,1.0,0.0,4.0,yes
Weekly,Not in the past three months,2.0,0.0,5.0,yes
Less than monthly,Monthly,1.0,1.0,4.0,yes
Presented but no response,Less than monthly,0.0,0.0,4.0,no
Daily or almost daily,Not in the past three months,0.0,0.0,5.0,no
Less than monthly,Not in the past three months,1.0,0.0,8.0,yes
A few times a month,Not in the past three months,0.0,1.0,8.0,yes
Daily or almost daily,Not in the past three months,2.0,0.0,4.0,yes
Monthly,Monthly,0.0,0.0,6.0,no
Weekly,Weekly,0.0,0.0,3.0,no
Less than monthly,Monthly,2.0,0.0,7.0,yes
A few times a month,Monthly,0.0,0.0,6.0,no
Daily or almost daily,A few times a month,0.0,8.0,7.0,yes
Monthly,Monthly,0.0,0.0,4.0,no
Weekly,A few times a month,1.0,1.0,5.0,yes
A few times a week,A few times a month,0.0,0.0,9.0,no
Presented but no response,Not in the past three months,1.0,1.0,8.0,yes
Monthly,A few times a month,0.0,0.0,7.0,no
A few times a month,A few times a month,0.0,0.0,6.0,no
Less than monthly,Not in the past three months,0.0,2.0,8.0,yes
Weekly,A few times a month,0.0,0.0,6.0,no
Weekly,Not in the past three months,1.0,2.0,5.0,yes
Weekly,Weekly,0.0,0.0,3.0,no
A few times a month,A few times a week,0.0,0.0,4.0,no
A few times a week,A few times a month,0.0,0.0,6.0,no
Daily or almost daily,Not in the past three months,1.0,2.0,6.0,yes
A few times a month,Monthly,0.0,0.0,7.0,no
Less than monthly,Monthly,0.0,0.0,5.0,no
Not in the past three months,Less than monthly,2.0,0.0,4.0,yes
Monthly,A few times a month,0.0,0.0,6.0,no
Monthly,Weekly,1.0,0.0,8.0,yes
Not in the past three months,Not in the past three months,1.0,2.0,4.0,yes
A few times a month,Not in the past three months,0.0,0.0,6.0,no
Monthly,A few times a month,0.0,0.0,8.0,no
A few times a week,Not in the past three months,0.0,0.0,9.0,no
Weekly,A few times a month,1.0,1.0,5.0,yes
Weekly,A few times a month,0.0,0.0,6.0,no
Monthly,Weekly,0.0,0.0,6.0,no
Weekly,Not in the past three months,1.0,2.0,6.0,yes
Less than monthly,Not in the past three months,1.0,1.0,9.0,yes
Less than monthly,Less than monthly,0.0,0.0,5.0,no
A few times a month,A few times a month,0.0,0.0,6.0,no
A few times a month,A few times a week,1.0,1.0,4.0,yes
Monthly,Weekly,0.0,0.0,5.0,no
Daily or almost daily,Not in the past three months,0.0,0.0,4.0,no
A few times a week,Daily or almost daily,0.0,1.0,4.0,yes
A few times a week,Less than monthly,0.0,1.0,4.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,3.0,no
A few times a month,A few times a month,0.0,0.0,3.0,no
Monthly,A few times a month,1.0,0.0,6.0,yes
A few times a week,Monthly,6.0,0.0,5.0,yes
Weekly,A few times a month,0.0,0.0,3.0,no
Monthly,Monthly,0.0,0.0,5.0,no
A few times a week,Weekly,0.0,2.0,7.0,yes
Monthly,Not in the past three months,9.0,0.0,5.0,yes
Not in the past three months,Not in the past three months,1.0,0.0,9.0,yes
Daily or almost daily,Daily or almost daily,0.0,0.0,6.0,no
Weekly,A few times a week,1.0,1.0,4.0,yes
Weekly,A few times a week,1.0,1.0,5.0,yes
A few times a week,Not in the past three months,0.0,0.0,8.0,no
A few times a week,A few times a week,0.0,0.0,5.0,no
Monthly,A few times a month,0.0,0.0,5.0,no
A few times a week,Not in the past three months,0.0,0.0,5.0,no
Daily or almost daily,Not in the past three months,0.0,2.0,4.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,6.0,no
Weekly,Weekly,1.0,2.0,4.0,yes
A few times a week,A few times a week,1.0,0.0,7.0,yes
Monthly,Not in the past three months,0.0,0.0,5.0,no
A few times a week,Not in the past three months,0.0,0.0,3.0,no
A few times a month,Weekly,1.0,0.0,8.0,yes
Not in the past three months,A few times a month,1.0,0.0,3.0,yes
A few times a month,Not in the past three months,0.0,0.0,4.0,no
Weekly,A few times a week,9.0,0.0,5.0,yes
A few times a month,Weekly,2.0,2.0,7.0,yes
Monthly,Not in the past three months,0.0,1.0,4.0,yes
A few times a month,Not in the past three months,0.0,0.0,3.0,no
A few times a month,Weekly,5.0,5.0,5.0,yes
Monthly,Not in the past three months,0.0,1.0,6.0,yes
A few times a month,A few times a month,0.0,1.0,8.0,yes
Monthly,Monthly,1.0,2.0,5.0,yes
A few times a month,Monthly,2.0,1.0,6.0,yes
A few times a month,Not in the past three months,1.0,0.0,7.0,yes
Weekly,A few times a month,0.0,0.0,7.0,no
Weekly,Not in the past three months,0.0,0.0,9.0,no
A few times a week,A few times a week,1.0,1.0,7.0,yes
A few times a week,Not in the past three months,2.0,1.0,3.0,yes
Monthly,A few times a month,0.0,0.0,4.0,no
A few times a week,A few times a month,0.0,5.0,4.0,yes
Monthly,Less than monthly,2.0,1.0,6.0,yes
Weekly,Monthly,1.0,0.0,6.0,yes
Weekly,Presented but no response,1.0,1.0,4.0,yes
Daily or almost daily,Not in the past three months,1.0,0.0,3.0,yes
A few times a month,Not in the past three months,0.0,0.0,9.0,no
Not in the past three months,Not in the past three months,0.0,1.0,9.0,yes
A few times a month,A few times a week,0.0,1.0,3.0,yes
Weekly,Monthly,1.0,0.0,8.0,yes
A few times a week,Weekly,0.0,0.0,3.0,no
Monthly,Monthly,0.0,0.0,6.0,no
A few times a month,A few times a month,0.0,0.0,5.0,no
Daily or almost daily,Not in the past three months,0.0,2.0,3.0,yes
A few times a month,Less than monthly,1.0,0.0,5.0,yes
Weekly,Not in the past three months,0.0,0.0,7.0,no
Daily or almost daily,Not in the past three months,0.0,3.0,8.0,yes
Weekly,A few times a month,0.0,0.0,6.0,no
A few times a week,Weekly,0.0,1.0,6.0,yes
A few times a month,Less than monthly,1.0,1.0,7.0,yes
A few times a week,Not in the past three months,0.0,1.0,5.0,yes
Weekly,A few times a month,8.0,0.0,5.0,yes
Weekly,Not in the past three months,0.0,2.0,9.0,yes
A few times a month,Weekly,1.0,0.0,5.0,yes
Weekly,Monthly,0.0,0.0,3.0,no
A few times a month,Less than monthly,0.0,0.0,5.0,no
A few times a month,Weekly,0.0,0.0,7.0,no
A few times a week,A few times a week,9.0,0.0,7.0,yes
Daily or almost daily,Not in the past three months,0.0,1.0,3.0,yes
A few times a month,A few times a month,0.0,0.0,6.0,no
Daily or almost daily,Not in the past three months,1.0,2.0,4.0,yes
A few times a month,A few times a month,0.0,5.0,7.0,yes
A few times a month,Not in the past three months,2.0,0.0,9.0,yes
Monthly,A few times a month,1.0,0.0,7.0,yes
Daily or almost daily,Not in the past three months,0.0,3.0,3.0,yes
A few times a month,Monthly,1.0,0.0,5.0,yes
A few times a month,Monthly,0.0,0.0,6.0,no
Less than monthly,Not in the past three months,1.0,0.0,5.0,yes
Weekly,A few times a month,1.0,0.0,5.0,yes
Less than monthly,A few times a month,0.0,0.0,3.0,no
Daily or almost daily,Weekly,0.0,0.0,6.0,no
Weekly,Not in the past three months,0.0,0.0,3.0,no
Weekly,A few times a month,1.0,1.0,5.0,yes
Daily or almost daily,Weekly,0.0,0.0,7.0,no
A few times a month,Not in the past three months,1.0,2.0,9.0,yes
Weekly,Not in the past three months,0.0,0.0,8.0,no
Daily or almost daily,Not in the past three months,0.0,0.0,7.0,no
A few times a week,Weekly,1.0,0.0,4.0,yes
Weekly,Weekly,1.0,0.0,5.0,yes
A few times a week,Not in the past three months,0.0,0.0,6.0,no
A few times a month,Monthly,2.0,3.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,7.0,no
A few times a month,Monthly,1.0,0.0,5.0,yes
A few times a week,Not in the past three months,1.0,1.0,5.0,yes
A few times a month,A few times a month,0.0,0.0,5.0,no
A few times a month,Weekly,2.0,1.0,5.0,yes
A few times a month,Weekly,1.0,0.0,6.0,yes
Monthly,Less than monthly,0.0,1.0,5.0,yes
Monthly,Weekly,0.0,0.0,4.0,no
Daily or almost daily,Not in the past three months,2.0,0.0,7.0,yes
Monthly,Monthly,1.0,1.0,5.0,yes
A few times a month,Weekly,2.0,0.0,6.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,7.0,no
Monthly,Less than monthly,1.0,0.0,6.0,yes
Weekly,A few times a month,0.0,7.0,4.0,yes
Monthly,A few times a month,1.0,2.0,6.0,yes
A few times a month,A few times a month,2.0,3.0,5.0,yes
A few times a month,Weekly,1.0,0.0,5.0,yes
A few times a month,A few times a month,7.0,3.0,5.0,yes
Less than monthly,Weekly,0.0,1.0,3.0,yes
Less than monthly,Not in the past three months,1.0,4.0,4.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,5.0,no
A few times a month,Weekly,1.0,0.0,5.0,yes
A few times a week,Not in the past three months,0.0,1.0,8.0,yes
Weekly,Not in the past three months,1.0,1.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,3.0,no
Monthly,A few times a month,2.0,3.0,7.0,yes
Less than monthly,Monthly,1.0,0.0,4.0,yes
A few times a month,A few times a week,2.0,1.0,6.0,yes
A few times a month,A few times a month,0.0,1.0,5.0,yes
Weekly,Not in the past three months,0.0,0.0,5.0,no
Daily or almost daily,Not in the past three months,4.0,3.0,3.0,yes
Presented but no response,Presented but no response,0.0,0.0,6.0,no
Monthly,Monthly,0.0,0.0,6.0,no
Weekly,A few times a month,2.0,1.0,4.0,yes
Monthly,Monthly,0.0,0.0,7.0,no
Weekly,Not in the past three months,1.0,0.0,7.0,yes
Daily or almost daily,Less than monthly,0.0,0.0,6.0,no
A few times a week,Monthly,0.0,0.0,6.0,no
Weekly,A few times a month,2.0,2.0,4.0,yes
Monthly,Monthly,0.0,0.0,6.0,no
Monthly,Monthly,1.0,0.0,3.0,yes
Weekly,A few times a month,1.0,1.0,9.0,yes
A few times a week,Not in the past three months,0.0,0.0,7.0,no
Monthly,Weekly,6.0,0.0,6.0,yes
A few times a week,Weekly,0.0,0.0,7.0,no
A few times a month,A few times a month,1.0,1.0,3.0,yes
A few times a month,Monthly,0.0,1.0,6.0,yes
Weekly,Monthly,1.0,0.0,3.0,yes
A few times a week,Not in the past three months,0.0,0.0,4.0,no
Not in the past three months,Monthly,0.0,0.0,4.0,no
A few times a month,A few times a month,0.0,0.0,5.0,no
A few times a month,Monthly,1.0,0.0,6.0,yes
Less than monthly,A few times a month,1.0,1.0,5.0,yes
Less than monthly,Less than monthly,2.0,0.0,6.0,yes
A few times a week,Not in the past three months,0.0,0.0,5.0,no
Weekly,Less than monthly,0.0,0.0,9.0,no
A few times a week,Not in the past three months,1.0,0.0,9.0,yes
A few times a month,Weekly,1.0,0.0,4.0,yes
A few times a month,A few times a month,1.0,1.0,5.0,yes
Weekly,A few times a month,0.0,0.0,6.0,no
Monthly,Weekly,0.0,0.0,5.0,no
Weekly,Weekly,1.0,0.0,5.0,yes
A few times a month,Not in the past three months,1.0,1.0,6.0,yes
A few times a month,Monthly,0.0,0.0,5.0,no
Monthly,Not in the past three months,0.0,0.0,9.0,no
A few times a week,Not in the past three months,0.0,0.0,8.0,no
A few times a month,A few times a week,2.0,0.0,8.0,yes
Monthly,Presented but no response,1.0,0.0,6.0,yes
A few times a month,A few times a week,1.0,0.0,9.0,yes
Not in the past three months,Less than monthly,1.0,0.0,6.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,7.0,no
Weekly,A few times a month,0.0,0.0,6.0,no
A few times a week,Not in the past three months,0.0,0.0,3.0,no
A few times a month,Weekly,1.0,0.0,3.0,yes
Monthly,Not in the past three months,1.0,1.0,6.0,yes
A few times a month,Not in the past three months,1.0,0.0,7.0,yes
A few times a week,A few times a month,1.0,1.0,5.0,yes
A few times a month,Weekly,2.0,1.0,4.0,yes
A few times a month,Less than monthly,1.0,0.0,5.0,yes
A few times a month,A few times a week,1.0,1.0,4.0,yes
Weekly,A few times a month,0.0,1.0,7.0,yes
A few times a week,Less than monthly,0.0,0.0,4.0,no
A few times a month,A few times a month,0.0,1.0,6.0,yes
A few times a month,Not in the past three months,1.0,0.0,3.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,6.0,no
A few times a week,A few times a week,0.0,0.0,3.0,no
A few times a week,Not in the past three months,0.0,0.0,3.0,no
Monthly,A few times a week,1.0,1.0,9.0,yes
Less than monthly,Not in the past three months,0.0,2.0,7.0,yes
Monthly,Weekly,0.0,0.0,6.0,no
Less than monthly,A few times a month,0.0,0.0,6.0,no
A few times a month,Less than monthly,1.0,1.0,5.0,yes
Daily or almost daily,Monthly,1.0,1.0,4.0,yes
Daily or almost daily,Not in the past three months,0.0,1.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,5.0,no
Less than monthly,Not in the past three months,1.0,3.0,4.0,yes
Less than monthly,Weekly,1.0,1.0,5.0,yes
A few times a month,A few times a month,2.0,0.0,5.0,yes
A few times a week,Not in the past three months,0.0,0.0,9.0,no
A few times a month,A few times a month,1.0,2.0,7.0,yes
A few times a month,A few times a week,0.0,0.0,8.0,no
Weekly,Not in the past three months,0.0,0.0,6.0,no
Less than monthly,Less than monthly,1.0,0.0,7.0,yes
A few times a month,Daily or almost daily,5.0,0.0,3.0,yes
Less than monthly,Weekly,1.0,2.0,6.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,3.0,no
Less than monthly,Not in the past three months,0.0,2.0,4.0,yes
A few times a week,A few times a month,1.0,3.0,3.0,yes
Monthly,Not in the past three months,0.0,0.0,9.0,no
Monthly,Less than monthly,3.0,0.0,5.0,yes
Less than monthly,Not in the past three months,0.0,0.0,9.0,no
Daily or almost daily,A few times a month,0.0,1.0,9.0,yes
Weekly,Not in the past three months,0.0,0.0,9.0,no
A few times a week,Not in the past three months,0.0,2.0,9.0,yes
Daily or almost daily,Daily or almost daily,0.0,0.0,6.0,no
A few times a month,A few times a week,1.0,1.0,6.0,yes
A few times a month,Presented but no response,0.0,1.0,5.0,yes
Less than monthly,Less than monthly,1.0,0.0,4.0,yes
Monthly,Monthly,1.0,1.0,4.0,yes
Monthly,A few times a month,0.0,0.0,6.0,no
A few times a month,Not in the past three months,0.0,0.0,9.0,no
A few times a week,Not in the past three months,0.0,1.0,3.0,yes
A few times a month,A few times a month,1.0,1.0,4.0,yes
Less than monthly,Not in the past three months,0.0,1.0,9.0,yes
Less than monthly,Monthly,0.0,0.0,5.0,no
A few times a week,Not in the past three months,0.0,0.0,5.0,no
Weekly,A few times a month,0.0,0.0,4.0,no
Weekly,Weekly,0.0,1.0,8.0,yes
Daily or almost daily,A few times a week,0.0,0.0,6.0,no
A few times a month,A few times a month,0.0,0.0,6.0,no
Weekly,Presented but no response,1.0,1.0,5.0,yes
Monthly,A few times a week,0.0,1.0,5.0,yes
Daily or almost daily,Not in the past three months,1.0,1.0,6.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,5.0,no
A few times a month,Monthly,0.0,9.0,7.0,yes
A few times a month,A few times a month,0.0,1.0,8.0,yes
A few times a week,Not in the past three months,0.0,0.0,9.0,no
Weekly,Not in the past three months,2.0,1.0,3.0,yes
A few times a week,Not in the past three months,0.0,0.0,7.0,no
Monthly,Less than monthly,0.0,0.0,5.0,no
Weekly,Weekly,0.0,1.0,7.0,yes
Monthly,Monthly,1.0,1.0,4.0,yes
Monthly,Monthly,0.0,0.0,5.0,no
Not in the past three months,Not in the past three months,0.0,1.0,9.0,yes
Monthly,Monthly,1.0,1.0,6.0,yes
Monthly,Presented but no response,1.0,0.0,5.0,yes
Daily or almost daily,Weekly,0.0,0.0,3.0,no
A few times a month,A few times a month,0.0,0.0,6.0,no
Daily or almost daily,Not in the past three months,0.0,3.0,3.0,yes
Weekly,Monthly,0.0,0.0,6.0,no
Daily or almost daily,Weekly,1.0,1.0,5.0,yes
A few times a month,Monthly,6.0,2.0,6.0,yes
A few times a week,A few times a week,0.0,3.0,3.0,yes
Weekly,A few times a month,1.0,0.0,6.0,yes
A few times a month,A few times a week,0.0,1.0,7.0,yes
Daily or almost daily,Daily or almost daily,2.0,3.0,5.0,yes
Monthly,A few times a week,1.0,0.0,5.0,yes
A few times a month,Less than monthly,0.0,0.0,4.0,no
Less than monthly,Monthly,0.0,0.0,4.0,no
Daily or almost daily,Daily or almost daily,1.0,1.0,9.0,yes
A few times a week,Not in the past three months,0.0,0.0,9.0,no
A few times a month,A few times a month,1.0,0.0,6.0,yes
Weekly,A few times a month,0.0,0.0,3.0,no
A few times a week,Not in the past three months,0.0,0.0,3.0,no
A few times a week,Not in the past three months,0.0,0.0,5.0,no
Daily or almost daily,Less than monthly,0.0,0.0,3.0,no
Weekly,Weekly,1.0,1.0,3.0,yes
A few times a week,Weekly,1.0,2.0,9.0,yes
Daily or almost daily,A few times a week,0.0,0.0,3.0,no
A few times a week,Monthly,2.0,7.0,9.0,yes
Monthly,Not in the past three months,0.0,0.0,7.0,no
A few times a month,A few times a month,2.0,0.0,4.0,yes
A few times a month,Not in the past three months,1.0,0.0,7.0,yes
A few times a month,Monthly,0.0,0.0,6.0,no
A few times a week,Not in the past three months,0.0,2.0,3.0,yes
A few times a week,Not in the past three months,0.0,0.0,4.0,no
Monthly,Weekly,1.0,0.0,5.0,yes
Daily or almost daily,Not in the past three months,0.0,0.0,3.0,no
A few times a month,Monthly,2.0,0.0,7.0,yes
A few times a week,Not in the past three months,0.0,0.0,6.0,no
Less than monthly,Monthly,0.0,1.0,5.0,yes
Monthly,Weekly,0.0,0.0,5.0,no
Weekly,Weekly,2.0,0.0,5.0,yes
A few times a month,Not in the past three months,0.0,0.0,5.0,no
Weekly,Not in the past three months,1.0,0.0,6.0,yes
A few times a month,Monthly,1.0,2.0,5.0,yes
Monthly,Weekly,1.0,1.0,8.0,yes
Weekly,A few times a week,2.0,2.0,6.0,yes
A few times a month,Weekly,0.0,1.0,5.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,9.0,no
Monthly,A few times a month,0.0,0.0,3.0,no
Weekly,Monthly,1.0,0.0,5.0,yes
Not in the past three months,Not in the past three months,0.0,0.0,4.0,no
A few times a month,A few times a month,1.0,0.0,5.0,yes
